method,prompt_index,prompt_length_group,actual_words,prompt,selected_steps,selected_guidance_scale,complexity,complexity_score,source,elapsed_seconds,peak_vram_gb,image_path,is_first_prompt
fixed_10,1,10_words,10,red apple resting on wooden table under soft studio light,10,4.5,,,fixed_baseline,2.1667374999997264,6.979499816894531,outputs\day2_baseline_10steps\01_red_apple_resting_on_wooden_table_under_soft_studio_light.png,True
fixed_10,2,10_words,10,golden retriever sitting on grass beside a white garden ball,10,4.5,,,fixed_baseline,0.5438066000001527,6.979499816894531,outputs\day2_baseline_10steps\02_golden_retriever_sitting_on_grass_beside_a_white_garden_ball.png,False
fixed_10,3,10_words,10,blue sports car parked on empty road at bright noon,10,4.5,,,fixed_baseline,0.5285173999996005,6.979499816894531,outputs\day2_baseline_10steps\03_blue_sports_car_parked_on_empty_road_at_bright_noon.png,False
fixed_10,4,10_words,10,white ceramic mug steaming on kitchen counter near morning window,10,4.5,,,fixed_baseline,0.528576300000168,6.979499816894531,outputs\day2_baseline_10steps\04_white_ceramic_mug_steaming_on_kitchen_counter_near_morning_windo.png,False
fixed_10,5,10_words,10,sunflower standing in clear glass vase beside folded linen napkin,10,4.5,,,fixed_baseline,0.5361885000002076,6.979499816894531,outputs\day2_baseline_10steps\05_sunflower_standing_in_clear_glass_vase_beside_folded_linen_napki.png,False
fixed_10,6,10_words,10,black bicycle leaning against brick wall after summer rain quietly,10,4.5,,,fixed_baseline,0.5257667000000765,6.979499816894531,outputs\day2_baseline_10steps\06_black_bicycle_leaning_against_brick_wall_after_summer_rain_quiet.png,False
fixed_10,7,10_words,10,chocolate cake slice on porcelain plate with silver fork nearby,10,4.5,,,fixed_baseline,0.5195362999997997,6.979499816894531,outputs\day2_baseline_10steps\07_chocolate_cake_slice_on_porcelain_plate_with_silver_fork_nearby.png,False
fixed_10,8,10_words,10,green backpack hanging from classroom chair under fluorescent lights quietly,10,4.5,,,fixed_baseline,0.5196492999998554,6.979499816894531,outputs\day2_baseline_10steps\08_green_backpack_hanging_from_classroom_chair_under_fluorescent_li.png,False
fixed_10,9,10_words,10,white sailboat drifting across calm lake during golden sunset alone,10,4.5,,,fixed_baseline,0.5186662999999498,6.979499816894531,outputs\day2_baseline_10steps\09_white_sailboat_drifting_across_calm_lake_during_golden_sunset_al.png,False
fixed_10,10,10_words,10,red sneakers placed on concrete floor beside gym lockers neatly,10,4.5,,,fixed_baseline,0.5206960000000436,6.979499816894531,outputs\day2_baseline_10steps\10_red_sneakers_placed_on_concrete_floor_beside_gym_lockers_neatly.png,False
fixed_10,11,30_words,30,"A robot chef cooks pasta in a modern kitchen, steam rising from the pan, stainless tools hanging nearby, warm cinematic lighting, and a curious child watching from the doorway quietly.",10,4.5,,,fixed_baseline,0.5262044000000969,6.979499816894531,outputs\day2_baseline_10steps\11_a_robot_chef_cooks_pasta_in_a_modern_kitchen_steam_rising_from_t.png,False
fixed_10,12,30_words,30,"A cozy bedroom glows with warm sunset light through a large window, with folded blankets, potted plants, framed photos, and a small desk ready for reading beside tea and pencils.",10,4.5,,,fixed_baseline,0.5247573999999986,6.979499816894531,outputs\day2_baseline_10steps\12_a_cozy_bedroom_glows_with_warm_sunset_light_through_a_large_wind.png,False
fixed_10,13,30_words,30,"A futuristic train station has glass walls, hovering signs, morning sunlight, travelers waiting on silver benches, and a sleek maglev train arriving beside platform seven with soft blue interior lights.",10,4.5,,,fixed_baseline,0.5242259999999987,6.979499816894531,outputs\day2_baseline_10steps\13_a_futuristic_train_station_has_glass_walls_hovering_signs_mornin.png,False
fixed_10,14,30_words,30,"A young astronaut plants a flag on a colorful alien planet, while crystal rocks, purple grass, two moons, and a tiny rover fill the background under pale green evening clouds.",10,4.5,,,fixed_baseline,0.5304411000001892,6.979499816894531,outputs\day2_baseline_10steps\14_a_young_astronaut_plants_a_flag_on_a_colorful_alien_planet_while.png,False
fixed_10,15,30_words,30,"A vintage camera rests on a wooden desk surrounded by travel postcards, brass coins, a notebook, warm lamplight, and an open map of Europe beside a half packed canvas bag.",10,4.5,,,fixed_baseline,0.5218760000002476,6.979499816894531,outputs\day2_baseline_10steps\15_a_vintage_camera_rests_on_a_wooden_desk_surrounded_by_travel_pos.png,False
fixed_10,16,30_words,30,"A small cafe corner holds leafy plants, stacked books, a blue armchair, soft afternoon light, and a steaming cup of coffee beside a handwritten menu on the narrow wooden table.",10,4.5,,,fixed_baseline,0.5300200000001496,6.979499816894531,outputs\day2_baseline_10steps\16_a_small_cafe_corner_holds_leafy_plants_stacked_books_a_blue_armc.png,False
fixed_10,17,30_words,30,"A watercolor painting shows a mountain village beside a river, with stone bridges, red roofs, distant mist, pine trees, and tiny people walking home under a pale evening sky together.",10,4.5,,,fixed_baseline,0.530272800000148,6.979499816894531,outputs\day2_baseline_10steps\17_a_watercolor_painting_shows_a_mountain_village_beside_a_river_wi.png,False
fixed_10,18,30_words,30,"A fantasy library rises around a spiral staircase, with floating candles, glowing books, brass ladders, velvet chairs, and a cat sleeping beneath the desk near a blue magical globe quietly.",10,4.5,,,fixed_baseline,0.5229505000002064,6.979499816894531,outputs\day2_baseline_10steps\18_a_fantasy_library_rises_around_a_spiral_staircase_with_floating_.png,False
fixed_10,19,30_words,30,"A rainy city street reflects shop windows and traffic lights, while pedestrians carry umbrellas past bicycles, food stalls, neon signs, and puddles glowing orange under a dark cinematic evening sky.",10,4.5,,,fixed_baseline,0.5234350999999151,6.979499816894531,outputs\day2_baseline_10steps\19_a_rainy_city_street_reflects_shop_windows_and_traffic_lights_whi.png,False
fixed_10,20,30_words,30,"A wooden cabin sits in a snowy forest, smoke rising from the chimney, warm windows glowing, pine branches bending, and footprints crossing the yard toward a small frozen pond nearby.",10,4.5,,,fixed_baseline,0.5187805999999,6.979499816894531,outputs\day2_baseline_10steps\20_a_wooden_cabin_sits_in_a_snowy_forest_smoke_rising_from_the_chim.png,False
fixed_10,21,50_words,50,"A small robot holds a red umbrella beside a striped cat in front of a rainy bookstore, while the window sign says SANA, puddles reflect yellow lamps, two bicycles lean nearby, and a delivery drone hovers above the narrow street as shoppers wait under awnings during a gentle evening storm.",10,4.5,,,fixed_baseline,0.5254328999999416,6.979499816894531,outputs\day2_baseline_10steps\21_a_small_robot_holds_a_red_umbrella_beside_a_striped_cat_in_front.png,False
fixed_10,22,50_words,50,"A cyberpunk street market glows at midnight with crowded food stalls, neon kanji signs, rain reflections, masked shoppers, steam vents, hovering taxis, and a musician playing beside a noodle cart, while a child points at a holographic dragon above the wet plaza near a flickering red vending machine tonight outside.",10,4.5,,,fixed_baseline,0.524137200000041,6.979499816894531,outputs\day2_baseline_10steps\22_a_cyberpunk_street_market_glows_at_midnight_with_crowded_food_st.png,False
fixed_10,23,50_words,50,"A medieval wizard teaches three students inside a crowded library, with glowing books floating above an oak table, candles dripping wax, a raven watching from a shelf, maps pinned to stone walls, and a silver telescope aimed at moonlight through the tall arched window behind a stack of scrolls tonight.",10,4.5,,,fixed_baseline,0.5200182000003224,6.979499816894531,outputs\day2_baseline_10steps\23_a_medieval_wizard_teaches_three_students_inside_a_crowded_librar.png,False
fixed_10,24,50_words,50,"A busy spaceport spreads beneath an orange sky, where two astronauts repair a rover beside a cargo ship, engineers carry tools, fuel pipes cross the landing pad, warning lights blink, and tourists photograph distant planets from behind glass while security robots guide them toward a silver observation balcony above calmly.",10,4.5,,,fixed_baseline,0.5185425999998188,6.979499816894531,outputs\day2_baseline_10steps\24_a_busy_spaceport_spreads_beneath_an_orange_sky_where_two_astrona.png,False
fixed_10,25,50_words,50,"A family picnic fills a sunny park, where a child flies a kite, a dog sleeps beneath the table, balloons drift near a fountain, grandparents pour lemonade, sandwiches sit in baskets, and clouds cast soft shadows across the grass while birds circle above a blanket covered with fresh strawberries nearby.",10,4.5,,,fixed_baseline,0.5325017000000116,6.979499816894531,outputs\day2_baseline_10steps\25_a_family_picnic_fills_a_sunny_park_where_a_child_flies_a_kite_a_.png,False
fixed_10,26,50_words,50,"A steampunk workshop contains brass gears, glass tubes, a robot bird, a chalkboard that says PCAS, copper lamps, scattered blueprints, and an inventor tightening a valve while sparks fly from a half built clockwork engine beside shelves packed with lenses springs tools and polished wooden boxes under smoky golden light.",10,4.5,,,fixed_baseline,0.5076991000000817,6.979499816894531,outputs\day2_baseline_10steps\26_a_steampunk_workshop_contains_brass_gears_glass_tubes_a_robot_bi.png,False
fixed_10,27,50_words,50,"A seaside festival begins at dusk with lanterns, musicians, children dancing, fireworks over the water, fishing boats tied to the pier, vendors selling fruit, and a painter capturing the scene while waves shimmer under purple clouds near a wooden stage covered with flowers ribbons drums and glowing paper stars tonight.",10,4.5,,,fixed_baseline,0.5261160000000018,6.979499816894531,outputs\day2_baseline_10steps\27_a_seaside_festival_begins_at_dusk_with_lanterns_musicians_childr.png,False
fixed_10,28,50_words,50,"A detective office is cluttered with case files, where a woman studies a city map, a man holds a flashlight, clues cover the wall, rain streaks the window, and a clock points toward midnight as coffee steams beside photographs marked with red thread across a dusty wooden desk quietly tonight.",10,4.5,,,fixed_baseline,0.5215593000002627,6.979499816894531,outputs\day2_baseline_10steps\28_a_detective_office_is_cluttered_with_case_files_where_a_woman_st.png,False
fixed_10,29,50_words,50,"A fantasy battle unfolds in heavy rain as a dragon flies above a castle, knights defend a bridge, archers light flaming arrows, horses rear near broken shields, and lightning reveals a wizard casting blue magic while villagers watch from stone windows beside banners torn by wind over the river below.",10,4.5,,,fixed_baseline,0.5246387999995932,6.979499816894531,outputs\day2_baseline_10steps\29_a_fantasy_battle_unfolds_in_heavy_rain_as_a_dragon_flies_above_a.png,False
fixed_10,30,50_words,50,"A futuristic classroom shows robots and children building a small rocket, posters spelling SANA on the wall, tablets glowing on desks, a teacher adjusting holographic equations, and tiny drones carrying tools between colorful experiment stations while sunlight enters through wide windows above plants wires gears notebooks and safety helmets neatly.",10,4.5,,,fixed_baseline,0.5319012999998449,6.979499816894531,outputs\day2_baseline_10steps\30_a_futuristic_classroom_shows_robots_and_children_building_a_smal.png,False
fixed_20,1,10_words,10,red apple resting on wooden table under soft studio light,20,4.5,,,fixed_baseline,2.820030900000347,6.979499816894531,outputs\day2_baseline_20steps\01_red_apple_resting_on_wooden_table_under_soft_studio_light.png,True
fixed_20,2,10_words,10,golden retriever sitting on grass beside a white garden ball,20,4.5,,,fixed_baseline,1.0299128000001474,6.979499816894531,outputs\day2_baseline_20steps\02_golden_retriever_sitting_on_grass_beside_a_white_garden_ball.png,False
fixed_20,3,10_words,10,blue sports car parked on empty road at bright noon,20,4.5,,,fixed_baseline,1.0113271000000168,6.979499816894531,outputs\day2_baseline_20steps\03_blue_sports_car_parked_on_empty_road_at_bright_noon.png,False
fixed_20,4,10_words,10,white ceramic mug steaming on kitchen counter near morning window,20,4.5,,,fixed_baseline,1.0020230000000083,6.979499816894531,outputs\day2_baseline_20steps\04_white_ceramic_mug_steaming_on_kitchen_counter_near_morning_windo.png,False
fixed_20,5,10_words,10,sunflower standing in clear glass vase beside folded linen napkin,20,4.5,,,fixed_baseline,1.0091355999998086,6.979499816894531,outputs\day2_baseline_20steps\05_sunflower_standing_in_clear_glass_vase_beside_folded_linen_napki.png,False
fixed_20,6,10_words,10,black bicycle leaning against brick wall after summer rain quietly,20,4.5,,,fixed_baseline,1.0511694000001626,6.979499816894531,outputs\day2_baseline_20steps\06_black_bicycle_leaning_against_brick_wall_after_summer_rain_quiet.png,False
fixed_20,7,10_words,10,chocolate cake slice on porcelain plate with silver fork nearby,20,4.5,,,fixed_baseline,1.0302264000001742,6.979499816894531,outputs\day2_baseline_20steps\07_chocolate_cake_slice_on_porcelain_plate_with_silver_fork_nearby.png,False
fixed_20,8,10_words,10,green backpack hanging from classroom chair under fluorescent lights quietly,20,4.5,,,fixed_baseline,0.9974779999997736,6.979499816894531,outputs\day2_baseline_20steps\08_green_backpack_hanging_from_classroom_chair_under_fluorescent_li.png,False
fixed_20,9,10_words,10,white sailboat drifting across calm lake during golden sunset alone,20,4.5,,,fixed_baseline,0.9358594000000267,6.979499816894531,outputs\day2_baseline_20steps\09_white_sailboat_drifting_across_calm_lake_during_golden_sunset_al.png,False
