method,guidance_scale,prompt_index,prompt_length_group,word_count,prompt,image_path,num_inference_steps,elapsed_seconds,peak_vram_gb,is_first_prompt,clip_cosine,clip_score
guidance_1_5,1.5,1,10_words,10,red apple resting on wooden table under soft studio light,outputs\day4_guidance_1_5\01_red_apple_resting_on_wooden_table_under_soft_studio_light.png,20,2.7421434999996563,6.979499816894531,True,0.3413103222846985,34.13103222846985
guidance_1_5,1.5,2,10_words,10,golden retriever sitting on grass beside a white garden ball,outputs\day4_guidance_1_5\02_golden_retriever_sitting_on_grass_beside_a_white_garden_ball.png,20,0.8987426999956369,6.979499816894531,False,0.334766149520874,33.4766149520874
guidance_1_5,1.5,3,10_words,10,blue sports car parked on empty road at bright noon,outputs\day4_guidance_1_5\03_blue_sports_car_parked_on_empty_road_at_bright_noon.png,20,0.9068494000021019,6.979499816894531,False,0.30803024768829346,30.803024768829346
guidance_1_5,1.5,4,10_words,10,white ceramic mug steaming on kitchen counter near morning window,outputs\day4_guidance_1_5\04_white_ceramic_mug_steaming_on_kitchen_counter_near_morning_windo.png,20,0.8812122000017553,6.979499816894531,False,0.3226092457771301,32.26092457771301
guidance_1_5,1.5,5,10_words,10,sunflower standing in clear glass vase beside folded linen napkin,outputs\day4_guidance_1_5\05_sunflower_standing_in_clear_glass_vase_beside_folded_linen_napki.png,20,0.8820278999992297,6.979499816894531,False,0.35391902923583984,35.391902923583984
guidance_1_5,1.5,6,10_words,10,black bicycle leaning against brick wall after summer rain quietly,outputs\day4_guidance_1_5\06_black_bicycle_leaning_against_brick_wall_after_summer_rain_quiet.png,20,0.8882047000006423,6.979499816894531,False,0.3540874719619751,35.40874719619751
guidance_1_5,1.5,7,10_words,10,chocolate cake slice on porcelain plate with silver fork nearby,outputs\day4_guidance_1_5\07_chocolate_cake_slice_on_porcelain_plate_with_silver_fork_nearby.png,20,0.8906902999951853,6.979499816894531,False,0.31326279044151306,31.326279044151306
guidance_1_5,1.5,8,10_words,10,green backpack hanging from classroom chair under fluorescent lights quietly,outputs\day4_guidance_1_5\08_green_backpack_hanging_from_classroom_chair_under_fluorescent_li.png,20,0.8861837000004016,6.979499816894531,False,0.3470824658870697,34.70824658870697
guidance_1_5,1.5,9,10_words,10,white sailboat drifting across calm lake during golden sunset alone,outputs\day4_guidance_1_5\09_white_sailboat_drifting_across_calm_lake_during_golden_sunset_al.png,20,0.8755575999966823,6.979499816894531,False,0.3448968529701233,34.48968529701233
guidance_1_5,1.5,10,10_words,10,red sneakers placed on concrete floor beside gym lockers neatly,outputs\day4_guidance_1_5\10_red_sneakers_placed_on_concrete_floor_beside_gym_lockers_neatly.png,20,0.9010513000030187,6.979499816894531,False,0.30190861225128174,30.190861225128174
guidance_1_5,1.5,11,30_words,30,"A robot chef cooks pasta in a modern kitchen, steam rising from the pan, stainless tools hanging nearby, warm cinematic lighting, and a curious child watching from the doorway quietly.",outputs\day4_guidance_1_5\11_a_robot_chef_cooks_pasta_in_a_modern_kitchen_steam_rising_from_t.png,20,0.9024264000036055,6.979499816894531,False,0.38229507207870483,38.22950720787048
guidance_1_5,1.5,12,30_words,30,"A cozy bedroom glows with warm sunset light through a large window, with folded blankets, potted plants, framed photos, and a small desk ready for reading beside tea and pencils.",outputs\day4_guidance_1_5\12_a_cozy_bedroom_glows_with_warm_sunset_light_through_a_large_wind.png,20,0.911502399998426,6.979499816894531,False,0.3676818907260895,36.76818907260895
guidance_1_5,1.5,13,30_words,30,"A futuristic train station has glass walls, hovering signs, morning sunlight, travelers waiting on silver benches, and a sleek maglev train arriving beside platform seven with soft blue interior lights.",outputs\day4_guidance_1_5\13_a_futuristic_train_station_has_glass_walls_hovering_signs_mornin.png,20,0.8846449999982724,6.979499816894531,False,0.3320045471191406,33.20045471191406
guidance_1_5,1.5,14,30_words,30,"A young astronaut plants a flag on a colorful alien planet, while crystal rocks, purple grass, two moons, and a tiny rover fill the background under pale green evening clouds.",outputs\day4_guidance_1_5\14_a_young_astronaut_plants_a_flag_on_a_colorful_alien_planet_while.png,20,0.8920708000005106,6.979499816894531,False,0.37058770656585693,37.05877065658569
guidance_1_5,1.5,15,30_words,30,"A vintage camera rests on a wooden desk surrounded by travel postcards, brass coins, a notebook, warm lamplight, and an open map of Europe beside a half packed canvas bag.",outputs\day4_guidance_1_5\15_a_vintage_camera_rests_on_a_wooden_desk_surrounded_by_travel_pos.png,20,0.9035367999968003,6.979499816894531,False,0.3792153000831604,37.92153000831604
guidance_1_5,1.5,16,30_words,30,"A small cafe corner holds leafy plants, stacked books, a blue armchair, soft afternoon light, and a steaming cup of coffee beside a handwritten menu on the narrow wooden table.",outputs\day4_guidance_1_5\16_a_small_cafe_corner_holds_leafy_plants_stacked_books_a_blue_armc.png,20,0.8893282999997609,6.979499816894531,False,0.3443318009376526,34.43318009376526
